,enrollee_id,city,city_development_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0,32403,city_41,0.8270000000000001,Male,Has relevant experience,Full time course,Graduate,STEM,9,0-10,Unknown,1,21,1.0
1,9858,city_103,0.92,Female,Has relevant experience,No enrollment,Graduate,STEM,5,Unknown,Pvt Ltd,1,98,0.0
2,31806,city_21,0.624,Male,No relevant experience,No enrollment,High School,Unknown,0,Unknown,Pvt Ltd,0,15,0.0
3,27385,city_13,0.8270000000000001,Male,Has relevant experience,No enrollment,Masters,STEM,11,10-49,Pvt Ltd,1,39,1.0
4,27724,city_103,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,10000+,Pvt Ltd,5,72,0.0
5,217,city_23,0.899,Male,No relevant experience,Part time course,Masters,STEM,10,Unknown,Unknown,2,12,1.0
6,21465,city_21,0.624,Unknown,Has relevant experience,No enrollment,Graduate,STEM,0,100-500,Pvt Ltd,1,11,0.0
7,27302,city_160,0.92,Female,Has relevant experience,No enrollment,Graduate,STEM,21,Unknown,Unknown,5,81,1.0
8,12994,city_173,0.878,Male,Has relevant experience,No enrollment,Graduate,STEM,14,Unknown,Unknown,4,2,1.0
9,16287,city_21,0.624,Male,Has relevant experience,Full time course,Graduate,Unknown,3,50-99,Funded Startup,1,4,0.0
10,10856,city_103,0.92,Male,Has relevant experience,No enrollment,Masters,Other,21,Unknown,Unknown,5,196,1.0
11,9272,city_90,0.698,Male,Has relevant experience,No enrollment,Graduate,STEM,20,10-49,Pvt Ltd,2,51,0.0
12,14249,city_46,0.762,Male,Has relevant experience,No enrollment,Graduate,STEM,8,100-500,Other,0,48,0.0
13,24372,city_98,0.949,Unknown,Has relevant experience,No enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,134,0.0
15,24914,city_21,0.624,Unknown,Has relevant experience,Full time course,Graduate,STEM,13,1000-4999,Pvt Ltd,1,125,0.0
16,7865,city_21,0.624,Male,Has relevant experience,No enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,4,0.0
17,7463,city_13,0.8270000000000001,Male,Has relevant experience,No enrollment,Masters,Business Degree,2,50-99,Pvt Ltd,1,31,0.0
18,21514,city_21,0.624,Unknown,Has relevant experience,No enrollment,Graduate,STEM,6,Unknown,Pvt Ltd,4,23,1.0
21,16001,city_103,0.92,Unknown,Has relevant experience,No enrollment,Graduate,STEM,7,10000+,Unknown,1,44,0.0
22,25202,city_21,0.624,Male,Has relevant experience,No enrollment,Graduate,STEM,6,1000-4999,Pvt Ltd,3,33,0.0
23,5058,city_103,0.92,Male,No relevant experience,Full time course,Graduate,STEM,1,Unknown,Unknown,1,81,0.0
24,23570,city_118,0.722,Male,Has relevant experience,No enrollment,Graduate,STEM,19,100-500,Pvt Ltd,5,19,0.0
25,19139,city_103,0.92,Female,Has relevant experience,Part time course,Graduate,STEM,15,Unknown,Public Sector,5,48,0.0
